population,epsilon,beta0,zone,weight,distance,peak_infectious,peak_day,attack_rate,n_waves,mean_alert_level
5,0.8,0.022429941490999337,sparse_periphery,0.003960433392660637,0.7471161128146367,54.0,41.0,0.972,12.0,2.1315068493150684
5,0.8,0.02191176840158579,sparse_periphery,0.003971702612500837,0.5630367234812061,55.0,41.0,0.98,11.0,2.0904109589041098
5,0.8,0.022961046945472113,sparse_periphery,0.0039773034160819325,0.7836167418545377,56.0,22.0,0.936,10.0,2.0547945205479454
5,0.8,0.022247883862095665,sparse_periphery,0.003961317377220896,0.7629064720857718,70.0,48.0,0.966,15.0,2.191780821917808
5,0.8,0.02504970307401495,sparse_periphery,0.00435543607952232,0.7215381017470929,66.0,31.0,0.948,13.0,2.1095890410958904
5,0.8,0.017885222736767566,sparse_periphery,0.005115936289920058,0.7200272357079527,51.0,20.0,0.94,12.0,1.978082191780822
5,0.8,0.026416242094778115,sparse_periphery,0.004933529487537142,0.7437091212905178,91.0,39.0,0.992,10.0,2.0082191780821916
5,0.8,0.02319934316364421,sparse_periphery,0.003994545171434862,0.6832227089794569,68.0,25.0,0.938,9.0,1.9342465753424658
5,0.8,0.016913114533641322,sparse_periphery,0.00583759918074377,0.7643177114060755,41.0,27.0,0.946,12.0,2.041095890410959
5,0.8,0.018687190031337057,sparse_periphery,0.004696841424189631,0.6580205063642526,60.0,50.0,0.922,9.0,1.989041095890411
5,0.8,0.019761588595258194,sparse_periphery,0.004313055903435611,0.6182699034911131,52.0,46.0,0.956,10.0,1.9808219178082191
5,0.8,0.01973445985213626,sparse_periphery,0.004320703072218426,0.615841940399119,53.0,60.0,0.89,10.0,1.9945205479452055
5,0.8,0.022770901939020087,sparse_periphery,0.003967889134020795,0.7446617379353687,105.0,29.0,0.958,10.0,1.8164383561643835
5,0.8,0.027530712813587984,sparse_periphery,0.005671552597962688,0.7306062062582519,77.0,43.0,0.986,12.0,2.1890410958904107
5,0.8,0.019476386714894395,sparse_periphery,0.0043983392861515515,0.7352409819327783,64.0,17.0,0.946,10.0,2.1342465753424658
5,0.8,0.01721615001921437,sparse_periphery,0.005582561254447419,0.6594644891505892,37.0,52.0,0.918,9.0,1.9424657534246574
5,0.8,0.018943318742887322,sparse_periphery,0.004589027076132383,0.62177474503023,76.0,25.0,0.938,11.0,2.0684931506849313
5,0.8,0.020698381307700943,sparse_periphery,0.004103427114015482,0.6798440869987273,53.0,59.0,0.952,11.0,2.1397260273972605
5,0.8,0.023614669630677734,sparse_periphery,0.004039525784797132,0.7076434666834562,56.0,12.0,0.966,13.0,2.254794520547945
5,0.8,0.017590991829837116,sparse_periphery,0.005306174782588138,0.7778423696289449,33.0,105.0,0.862,9.0,1.906849315068493
5,0.8,0.014673696558260084,sparse_periphery,0.009052419234940727,0.6252451564070394,45.0,29.0,0.882,10.0,1.704109589041096
5,0.8,0.026647060599978005,sparse_periphery,0.005063889154814497,0.737420243059493,72.0,32.0,0.974,8.0,1.978082191780822
5,0.8,0.026661512553427705,sparse_periphery,0.005072409331784105,0.7749283180996033,72.0,19.0,0.984,10.0,2.084931506849315
5,0.8,0.016342075678742303,sparse_periphery,0.006408779386927673,0.7772368553698564,41.0,187.0,0.912,9.0,1.841095890410959
5,0.8,0.022970583549362704,sparse_periphery,0.0039778763258776035,0.6927035253794626,59.0,40.0,0.968,9.0,2.0712328767123287
5,0.8,0.016300887227728794,sparse_periphery,0.006455143904255363,0.7837666827083344,55.0,275.0,0.87,10.0,1.6931506849315068
5,0.8,0.01729687203757934,sparse_periphery,0.005519570777675775,0.7200880558992018,49.0,12.0,0.908,9.0,2.0575342465753423
5,0.8,0.020998254962434966,sparse_periphery,0.004056925976830703,0.7957121054424443,63.0,35.0,0.954,11.0,2.073972602739726
5,0.8,0.01930513579324199,sparse_periphery,0.004454952945162789,0.7132945904301465,54.0,33.0,0.924,10.0,1.8082191780821917
5,0.8,0.00971698899992154,dense_periphery,0.007427587826221631,0.6243316773558479,73.0,51.0,0.942,9.0,2.052054794520548
5,0.8,0.024397934348476678,sparse_periphery,0.004179263534475633,0.6094356252320771,68.0,31.0,0.98,11.0,2.0054794520547947
5,0.8,0.021911343345333963,sparse_periphery,0.0039717228876763625,0.6409536234648644,66.0,21.0,0.916,12.0,1.9616438356164383
5,0.8,0.020516915469815832,sparse_periphery,0.004136213412006498,0.7053248251082818,62.0,27.0,0.926,8.0,2.063013698630137
5,0.8,0.009065720438568724,dense_periphery,0.007622318163273281,0.48129620633948306,56.0,12.0,0.918,10.0,1.8821917808219177
5,0.8,0.02096073751899983,sparse_periphery,0.004062229955528924,0.6856032645472248,50.0,43.0,0.906,9.0,1.8246575342465754
5,0.8,0.02268289493625057,sparse_periphery,0.003964815176874765,0.6738231771241976,62.0,21.0,0.952,10.0,2.186301369863014
5,0.8,0.026229398349079544,sparse_periphery,0.004835592171081972,0.7065977887070145,66.0,35.0,0.976,13.0,2.1424657534246574
5,0.8,0.01813029443624314,sparse_periphery,0.004973446423790507,0.7311513764747759,59.0,16.0,0.93,10.0,1.926027397260274
5,0.8,0.02526595709075877,sparse_periphery,0.0044270388880410854,0.7108335211821593,79.0,11.0,0.976,12.0,2.219178082191781
5,0.8,0.01926982085572894,sparse_periphery,0.004467156417364291,0.7072133624929355,42.0,278.0,0.914,12.0,2.03013698630137
5,0.8,0.009249795051573601,dense_periphery,0.007542076542094907,0.7873956914962253,56.0,32.0,0.934,8.0,1.7397260273972603
